date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:50	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Dec%202021%2010:41:42%20GMT	https://tradingwaala.com/robots.txt		(from )
14:09:53	132594/132594	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:39:49%20GMT	https://tradingwaala.com/	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/index.html	(from )
14:09:54	5719/5719	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Feb%202024%2009:46:54%20GMT	https://tradingwaala.com/assets/images/icons/tradingwaalaFavicon.png	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/images/icons/tradingwaalaFavicon.png	(from https://tradingwaala.com/)
14:09:55	155585/155585	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202024%2005:28:48%20GMT	https://tradingwaala.com/assets/css/main.css	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/css/main.css	(from https://tradingwaala.com/)
14:09:55	3184/3184	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202024%2005:37:56%20GMT	https://tradingwaala.com/assets/css/owl.css	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/css/owl.css	(from https://tradingwaala.com/)
14:09:56	8939/8939	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2006:45:11%20GMT	https://tradingwaala.com/assets/css/style.css	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/css/style.css	(from https://tradingwaala.com/)
14:09:57	364/364	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Mar%202024%2006:48:30%20GMT	https://tradingwaala.com/assets/css/media.css	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/css/media.css	(from https://tradingwaala.com/)
14:09:59	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/Users/deepa/Desktop/anish_b2b/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://tradingwaala.com/)
14:10:00	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/Users/deepa/Desktop/anish_b2b/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://tradingwaala.com/)
14:10:00	145452/145452	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:39:59%20GMT	https://tradingwaala.com/index	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/index-2.html	(from https://tradingwaala.com/)
14:10:01	4456/4456	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Feb%202024%2009:47:08%20GMT	https://tradingwaala.com/assets/images/icons/tradingwaalaLogo.png	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/assets/images/icons/tradingwaalaLogo.png	(from https://tradingwaala.com/)
14:10:02	11682/11682	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:00%20GMT	https://tradingwaala.com/search	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/search.html	(from https://tradingwaala.com/)
14:10:03	4308/4308	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:01%20GMT	https://tradingwaala.com/admin/login	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/admin/login.html	(from https://tradingwaala.com/)
14:10:03	13914/13914	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:02%20GMT	https://tradingwaala.com/login	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/login.html	(from https://tradingwaala.com/)
14:10:04	12733/12733	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:02%20GMT	https://tradingwaala.com/product?sub_cat_id=72	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/product67df.html	(from https://tradingwaala.com/)
14:10:05	12733/12733	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:03%20GMT	https://tradingwaala.com/product?sub_cat_id=73	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/product3180.html	(from https://tradingwaala.com/)
14:10:07	12733/12733	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20May%202024%2008:40:05%20GMT	https://tradingwaala.com/product?sub_cat_id=74	C:/Users/deepa/Desktop/anish_b2b/tradingwaala.com/product2826.html	(from https://tradingwaala.com/)
